Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Sam Holtze,BC,6,2.5,0.3,0.3,1,0.2,0.2,1,0.3,0.3,1,0.2,0.5,0,0,0,0.2,0.3,0,1.2
Emmanuel Okpomo,WF,14,9.6,0.4,0.6,0.556,0,0,0,0.4,0.6,0.75,0.6,1.7,0.6,1.1,1.7,0.1,0.3,0.8,1.1
Lynn Kidd,CLEM,7,4.7,0.3,0.9,0.333,0,0,0,0.6,0.6,1,0.3,0.9,0.6,0.4,1,0.1,0,0.3,1.1
Patrick Tape,DUKE,10,4.4,0.5,1.3,0.385,0,0,0,0.1,0.4,0.25,0.4,1.1,0.6,0.5,1.1,0.2,0.5,0.2,1.1
Gabe Wiznitzer,U of L,12,5.6,0.3,0.9,0.364,0,0,0,0.4,0.9,0.455,0.2,1.2,0.8,0.5,1.2,0.2,0,0.1,1.1
Puff Johnson,UNC,14,4.1,0.4,1,0.429,0.1,0.6,0.111,0.1,0.1,1,0.1,0.4,0.1,0.4,0.5,0.1,0.1,0.1,1.1
Saba Gigiberia,GT,9,3.7,0.4,1.2,0.364,0.1,0.2,0.5,0,0.1,0,0.2,1.1,0.4,1.1,1.6,0.2,0,0,1
Creighton Lebo,UNC,6,1.7,0.5,0.7,0.75,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.3,0,0,0,1
Hogan Orbaugh,U of L,3,0.7,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0.3,0,0.3,0.3,0,0,0,1
"Tony Sanders, Jr.",ND,15,5.2,0.4,1.1,0.375,0.2,0.4,0.5,0,0,0,0.5,0.6,0.3,0.3,0.6,0,0.1,0.1,1
Shaheed Medlock,GT,2,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Max Farthing,NCST,5,3.4,0.2,0.6,0.333,0.2,0.6,0.333,0.4,0.4,1,0.2,0.2,0,0.2,0.2,0,0,0,1
"Curtis Aiken, Jr.",PITT,1,3,0,1,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,1
Luka Kraljevic,BC,3,4,0.3,1.3,0.25,0.3,1,0.333,0,0,0,0.7,1.7,0,0.3,0.3,0.3,0,0.3,1
Justin Vander Baan,BC,10,4.3,0.2,0.5,0.4,0,0.3,0,0.5,0.6,0.833,0.5,0.5,0.3,0.5,0.8,0,0.1,0.2,0.9
Elijah Morgan,ND,10,2.9,0.3,0.9,0.333,0,0.3,0,0.3,0.3,1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0,0.9
Jabri Abdur-Rahim,UVA,8,4.5,0.2,1.2,0.2,0.1,0.9,0.143,0.2,0.2,1,0.1,0.9,0,0.2,0.2,0.2,0.1,0.1,0.9
Matt Zona,ND,15,5.1,0.3,1.3,0.25,0,0.2,0,0.2,0.4,0.5,0,0.7,0.7,0.8,1.5,0.3,0.1,0.2,0.9
Charles Minlend,U of L,7,8,0.3,1.4,0.2,0.3,0.9,0.333,0,0,0,0.1,0.4,0.4,0.4,0.9,0.3,0.1,0.1,0.9
Harrison Prieto,FSU,6,2,0.3,0.3,1,0.2,0.2,1,0,0.3,0,0.2,0.3,0.2,0.2,0.3,0,0,0.3,0.8
Jaylon Gibson,NCST,17,4.6,0.3,0.6,0.455,0,0.1,0,0.2,0.6,0.364,0.4,0.4,0.4,0.4,0.8,0,0.1,0.1,0.8
Darius Maddox,VT,11,3.2,0.3,1,0.273,0.3,0.6,0.429,0,0,0,0.1,0.3,0.2,0,0.2,0.3,0,0.1,0.8
Noah Collier,PITT,12,8.6,0.2,0.6,0.286,0,0,0,0.4,0.8,0.5,0.2,0.9,0.4,0.8,1.2,0.3,0.2,0.2,0.8
Nick Farrar,NCST,7,3,0.3,0.6,0.5,0,0,0,0.1,0.6,0.25,0.1,0.3,0,0.1,0.1,0,0.1,0.1,0.7
Justin Lindner,FSU,9,2.6,0.3,1.1,0.3,0,0.4,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.9,0.4,0,0.7
O'Neil McBride,CLEM,3,1.3,0,0,0,0,0,0,0.7,0.7,1,0,0,0,0.3,0.3,0,0,0,0.7
Carson McCorkle,UVA,8,2.6,0.2,0.6,0.4,0.1,0.5,0.25,0,0,0,0,0.1,0.1,0.4,0.5,0.5,0.1,0,0.6
Austin Katstra,UVA,5,1.2,0.2,0.8,0.25,0.2,0.6,0.333,0,0,0,0,0,0.2,0,0.2,0,0,0,0.6
Walker Miller,UNC,7,2.3,0.1,0.4,0.333,0,0,0,0.3,0.3,1,0.1,0.4,0.1,0.3,0.4,0,0,0.1,0.6
Ebenezer Douwana,NCST,9,5.3,0.2,1,0.222,0,0,0,0.1,0.2,0.5,0.1,0.9,0.2,0.7,0.9,0,0,0.2,0.6
Travis Light,FSU,10,1.9,0.2,0.6,0.333,0.1,0.5,0.2,0,0,0,0,0,0.2,0.3,0.5,0,0,0.1,0.5
Sterling Manley,UNC,4,1,0.2,0.5,0.5,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.8,0.5
Michael Savarino,DUKE,2,2,0,0.5,0,0,0.5,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5
Max Amadasun,PITT,4,3,0.2,1.2,0.2,0,0,0,0,0,0,0,0.5,0.2,0.5,0.8,0,0,0,0.5
Mike Buckmire,DUKE,4,1.2,0.2,0.8,0.333,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0.5
Will Miles,FSU,9,2,0.2,0.8,0.286,0,0,0,0,0,0,0.2,0.1,0.1,0,0.1,0.3,0.1,0,0.4
Chase Coleman,UVA,5,1.2,0.2,0.2,1,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0.4
Rodney Miller,UM,5,4.6,0,0.4,0,0,0,0,0.4,0.8,0.5,0.4,0.8,0.4,0,0.4,0,0.4,0.2,0.4
Will Jackowitz,BC,5,2.6,0,0.6,0,0,0.4,0,0.4,0.4,1,0.4,0.4,0,0.4,0.4,0,0.2,0,0.4
John Ojiako,VT,5,3.2,0.2,0.8,0.25,0,0,0,0,0.4,0,0.2,0.8,0,0.2,0.2,0,0,0.4,0.4
K.J. Smith,UNC,8,2.4,0.1,0.8,0.167,0,0.1,0,0.1,0.2,0.5,0.1,0.1,0,0.6,0.6,0,0,0,0.4
John Bol Ajak,SU,10,5.2,0.1,0.4,0.25,0,0,0,0,0,0,0.1,0.7,0.2,0.2,0.4,0.2,0.1,0.2,0.2
Jehloni James,GT,4,2.8,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.8,1,0,0,0,0
Gill Williamson,VT,2,2,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0.5,0
Blake Buchanan,WF,2,3.5,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,1,1,0.5,0,0,0
Nick Giancola,SU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Jayden Nixon,UVA,3,1.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0
Filippos Gkogkos,UM,4,1.8,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0
Chayce Smith,PITT,3,1.3,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0.7,0.7,0,0,0,0
Duwe Farris,UNC,6,1.5,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0,0,0,0
Abe Atiyeh,BC,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Yates,VT,2,2,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Shane Feldman,SU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris LaValle,SU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaz Owens,SU,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleman Boyd,GT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Didenko,GT,5,1.8,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0
Niko Broadway,GT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Colbert,U of L,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Meka,GT,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Miles Lester,WF,2,2,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
Aidan Fisch,PITT,3,1.7,0,0.3,0,0,0.3,0,0,0,0,0.3,0.3,0.3,0.3,0.7,0,0,0,0
Wells Hoag,CLEM,3,1.3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Myles-Devore,U of L,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malachi Poindexter,UVA,3,1,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Noel,BC,3,3,0,0.3,0,0,0,0,0,0.7,0,0,0.7,0,0,0,0.3,0,0,0
Ryan McAdoo,UNC,8,2,0,0.5,0,0,0.2,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0,0,0
Quinn Pemberton,BC,2,3.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
Luka Garza,UI,31,31.6,9.1,16.4,0.553,1.4,3.2,0.44,4.5,6.4,0.709,1.5,2.3,3,5.7,8.7,1.7,0.7,1.6,24.1
Ayo Dosunmu,U of I,28,35.2,7.5,15.4,0.488,1.1,3,0.386,4,5.1,0.783,3.3,2.1,1.1,5.2,6.3,5.2,1.1,0.2,20.1
Marcus Carr,U of M,29,35.8,6,15.6,0.385,2.1,6.5,0.317,5.3,6.7,0.799,2.3,2.3,0.8,3.2,4,4.9,1.3,0.1,19.4
Trayce Jackson-Davis,IU,27,34.3,6.8,13.1,0.517,0,0,0,5.6,8.5,0.655,2.2,2.1,3.2,5.8,9,1.4,0.7,1.4,19.1
Kofi Cockburn,U of I,31,27,6.9,10.5,0.654,0,0,0,3.9,7,0.553,1.7,2.5,3.4,6.1,9.5,0.2,0.3,1.3,17.7
Teddy Allen,UNL,22,27.2,6,13.3,0.449,2,5.3,0.376,2.5,3.7,0.691,2.5,2.2,1.2,3.5,4.7,1.7,1.3,0,16.5
"Duane Washington, Jr.",OSU,31,32.1,5.5,13.5,0.41,2.9,7.7,0.374,2.5,2.9,0.835,2.2,1.6,0.2,3.2,3.4,2.9,0.4,0,16.4
E.J. Liddell,OSU,29,29.3,5.4,11.5,0.474,0.9,2.8,0.338,4.3,5.8,0.746,1.6,3,1.8,4.9,6.7,1.8,0.7,1.1,16.2
Trevion Williams,PU,28,25.1,6.8,13,0.525,0,0.1,0,1.9,3.8,0.5,2.4,2.9,3.7,5.4,9.1,2.2,0.7,0.6,15.5
Aaron Henry,MSU,28,32.4,5.8,13,0.449,0.9,2.9,0.296,2.9,3.8,0.762,2.9,2.2,1.4,4.2,5.6,3.6,1.3,1.3,15.4
Myreon Jones,PSU,25,30.2,5.1,12.9,0.394,2.4,6.1,0.395,2.7,3.5,0.773,1.2,1.4,0.8,1.9,2.7,2,1.3,0.1,15.3
Eric Ayala,UMD,29,33.5,4.8,11,0.437,2,5.8,0.337,3.6,4.3,0.831,1.7,1.4,0.5,3.8,4.3,2.2,1.2,0.1,15.1
Ron Harper,RU,27,32,5.4,12.3,0.441,1.7,5.4,0.31,2.4,3.2,0.736,1.1,1.9,1,4.9,5.9,1.6,0.7,0.6,14.9
Joe Wieskamp,UI,31,29.3,5.2,10.6,0.491,2.4,5.1,0.462,2.1,3.1,0.677,1.4,1.5,1.2,5.5,6.6,1.7,0.9,0.3,14.8
Aaron Wiggins,UMD,31,33,5.3,11.9,0.446,1.8,5.2,0.356,2,2.5,0.772,2,2,1.1,4.7,5.8,2.5,1.1,0.5,14.5
Jacob Young,RU,28,30.1,5.4,11.6,0.469,1.1,3,0.369,2.2,3,0.726,3,1.9,0.3,1.6,1.9,3.4,1.7,0,14.1
Hunter Dickinson,UM,28,26,5.6,9.3,0.598,0,0.1,0,2.9,4,0.739,2.3,2.5,2.2,5.2,7.4,0.9,0.3,1.4,14.1
D'Mitrik Trice,UW,31,33.3,4.6,11.3,0.41,2,5.4,0.373,2.6,3.3,0.792,1.8,1.6,0.1,3.3,3.4,4,0.8,0,13.9
Isaiah Livers,UM,23,31.6,4.4,9.7,0.457,2.2,5,0.431,2,2.3,0.87,1.1,1.6,1.1,4.9,6,2,0.6,0.7,13.1
Izaiah Brockington,PSU,25,29.7,4.7,10.9,0.43,0.5,1.7,0.279,2.8,3.3,0.841,1.7,2,1.1,3.8,4.9,1.7,1,0.2,12.6
Micah Potter,UW,31,22.2,4.5,9,0.504,1.3,3.3,0.386,2.2,2.6,0.84,1.4,2,1.8,4.1,5.9,1.4,0.5,0.7,12.5
Franz Wagner,UM,28,31.8,4.4,9.3,0.477,1.2,3.6,0.343,2.4,2.8,0.835,1.3,2.2,0.7,5.8,6.5,3,1.2,1,12.5
Chase Audige,NU,24,28.2,4.7,11.5,0.404,1.7,4.9,0.339,1.3,2.4,0.544,2.3,2.9,0.8,2.9,3.7,1.8,1.5,0.4,12.3
Liam Robbins,U of M,23,24.4,3.9,8.8,0.441,0.7,2.3,0.327,3.3,4.7,0.694,1.7,3.6,2.4,4.2,6.6,1.1,0.7,2.7,11.7
Armaan Franklin,IU,22,30.1,4,9.2,0.429,1.6,3.9,0.424,1.8,2.5,0.741,2.2,2.8,0.6,3.5,4.1,2.1,1.2,0.2,11.4
A.J. Durham,IU,26,32.4,3.3,8.6,0.388,1.5,3.8,0.38,3.1,4,0.786,1.4,2.5,0.3,2.8,3.1,2.6,0.5,0.1,11.3
Miller Kopp,NU,24,31.3,3.8,9.5,0.396,1.4,4.3,0.33,2.3,2.8,0.848,1.5,1.4,0.5,2.5,3,1.1,1,0.1,11.2
Jaden Ivey,PU,23,24.2,3.9,9.7,0.399,1.1,4.2,0.258,2.3,3.2,0.726,1.3,1.7,0.8,2.5,3.3,1.9,0.7,0.7,11.1
Pete Nance,NU,24,27.6,4.5,9,0.495,1,2.8,0.364,1.2,1.5,0.784,1.3,2.6,1,5.8,6.8,1.8,0.6,0.7,11.1
Donta Scott,UMD,31,30.3,3.8,7.6,0.498,1.6,3.6,0.438,1.8,2.7,0.663,1.5,1.6,1,4.8,5.9,2,0.7,0.8,11
Justice Sueing,OSU,31,28.2,3.5,7.2,0.491,0.7,2,0.361,3,4,0.75,1.8,2.4,1.5,3.9,5.5,1.5,0.9,0.2,10.7
Trey McGowens,UNL,27,28.4,3.5,9,0.391,1.1,2.9,0.367,2.6,3.9,0.657,2.3,2.6,0.5,3.4,3.9,2.3,1.4,0.1,10.7
Jordan Bohannon,UI,31,29.2,3.2,8.3,0.389,2.6,6.6,0.39,1.5,1.7,0.889,1.4,1.1,0.1,3,3.1,4.4,0.5,0,10.6
Geo Baker,RU,25,31.1,4,9.7,0.409,1.5,4.9,0.303,1,1.3,0.75,1.7,2.2,0.3,2.8,3.1,3.2,1.2,0.4,10.4
Boo Buie,NU,24,26.9,3.4,9.2,0.369,1.7,4.8,0.36,1.8,2.3,0.782,2,2.2,0.2,2,2.3,4,0.6,0,10.3
Trent Frazier,U of I,31,33.5,3.2,7.9,0.4,1.8,4.9,0.362,2.1,2.5,0.831,1.5,2.5,0.2,2.6,2.7,2.7,1.3,0.1,10.2
Seth Lundy,PSU,25,23.9,3.5,9,0.385,1.6,4.9,0.32,1.6,1.9,0.812,1.3,2.2,1.2,3,4.2,0.8,0.7,0.6,10.1
Brad Davison,UW,31,31,2.9,8.5,0.346,2,5.2,0.391,2.1,2.5,0.868,0.9,2.3,0.3,3.2,3.5,2.4,1.1,0,10
Josh Langford,MSU,27,28.1,3.4,9.1,0.377,1.3,3.8,0.343,1.5,2,0.745,1.4,2.2,1.1,2.4,3.6,1.8,0.6,0.3,9.7
Joey Hauser,MSU,28,21.5,3.4,7.1,0.475,1.2,3.6,0.34,1.8,2.4,0.721,1.9,2.6,1.4,4.2,5.6,1.4,0.4,0.2,9.7
Dalano Banton,UNL,27,27.4,3.3,8.1,0.411,0.7,3,0.247,2.1,3.3,0.659,2.5,2.1,1,4.9,5.9,3.9,1,0.9,9.6
Eli Brooks,UM,27,31,3.3,7.7,0.426,1.4,3.6,0.396,1.5,1.6,0.909,1.1,1.1,0.4,2.7,3.1,3.1,1.1,0.2,9.5
C.J. Walker,OSU,27,30,3,7.4,0.41,0.5,1.8,0.265,2.9,3.1,0.94,2,2.6,0.4,2.8,3.2,4.4,0.9,0.1,9.5
