Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Abu Kigab,UO,10,14.9,1.1,2.5,0.44,0.1,1.1,0.091,0.3,0.5,0.6,0.7,1.6,0.9,1.8,2.7,1.8,0.2,0,2.6,0
Brandon Morley,U of U,16,6.8,0.8,2.1,0.382,0.4,1.1,0.333,0.4,0.8,0.538,0.5,1.1,0.9,0.8,1.7,0.1,0.1,0.1,2.4,0
Jacobi Gordon,Cal,25,9.6,0.6,2,0.306,0.3,1.1,0.25,0.8,1.1,0.75,0.7,1,0.7,1,1.7,0.2,0.1,0,2.3,0
Alex Olesinski,UCLA,17,10.6,0.8,1.7,0.448,0.2,0.9,0.267,0.5,0.7,0.75,0.3,1.2,0.8,1.6,2.4,0.1,0.5,0.3,2.3,0
Kodye Pugh,SU,21,6.3,0.8,1.6,0.515,0.1,0.4,0.333,0.3,0.5,0.6,0.7,0.4,0.4,0.5,0.9,0.4,0.1,0,2,0
J'Raan Brooks,USC,28,8.2,0.8,1.9,0.442,0.2,0.6,0.353,0.1,0.3,0.444,0.4,1.2,0.2,1.1,1.2,0.2,0,0,2,0
Mickey Mitchell,ASU,6,8.8,0.8,1.2,0.714,0.2,0.2,1,0.2,1.3,0.125,1,1.2,1,1.7,2.7,1,0.2,0,2,0
Jordan Campbell,OSU,6,3.5,0.8,1.3,0.625,0.2,0.5,0.333,0.2,0.3,0.5,0.3,0.2,0.2,0.3,0.5,0.3,0.2,0,2,0
Sam Timmins,UW,36,10.4,0.9,1.4,0.62,0,0,0,0.2,0.6,0.364,0.8,1.8,1,1.2,2.2,0.2,0.3,0.7,1.9,0
Alexander Strating,CU,29,8,0.8,1.1,0.688,0,0,0,0.4,0.8,0.5,0.4,1,0.6,0.6,1.1,0.3,0.1,0.1,1.9,0
Antoine Vernon,OSU,30,10.9,0.4,1.2,0.371,0.3,0.7,0.429,0.6,0.6,1,0.5,1.1,0.1,0.6,0.8,0.8,0.2,0,1.8,0
Kyle Feit,ASU,3,1.7,0.7,1,0.667,0.3,0.7,0.5,0,0,0,0.3,0.3,0,0.7,0.7,0,0,0,1.7,0
Lukas Kisunas,SU,28,6.1,0.6,1.2,0.515,0,0,0,0.4,0.6,0.611,0.4,1.1,0.6,1.2,1.8,0.1,0,0.2,1.6,0
Warren Washington,OSU,27,7.8,0.6,1,0.536,0,0,0,0.2,0.4,0.5,0.3,2,0.6,0.9,1.4,0.2,0,0.3,1.3,0
Beau Rydalch,U of U,11,3,0.4,1.1,0.333,0.2,0.7,0.25,0.3,0.5,0.5,0.2,0.5,0.4,1,1.4,0.1,0,0.2,1.2,0
Elijah Hardy,UW,11,1.6,0.5,0.9,0.5,0.3,0.5,0.5,0,0,0,0.2,0.2,0,0,0,0,0.1,0,1.2,0
Elijah Parquet,CU,26,8.5,0.4,1.6,0.268,0.2,0.8,0.238,0.1,0.3,0.429,0.5,0.9,0.3,0.7,1,0.3,0.2,0.4,1.2,0
Trevor Stanback,SU,13,6.6,0.4,0.8,0.5,0,0,0,0.4,0.8,0.455,0.6,0.6,0.7,0.8,1.5,0.1,0,0.3,1.2,0
Roman Davis,Cal,16,6.8,0.4,1.6,0.28,0,0.1,0,0.2,0.9,0.267,0.3,1.3,0.3,1.5,1.8,0.1,0.1,0.1,1.1,0
Davante Cooper,WSU,19,6.1,0.5,0.8,0.667,0,0,0,0.1,0.3,0.2,0.6,0.8,0.3,0.7,1,0.2,0.1,0.3,1.1,0
Rodney Herenton,SU,6,1.8,0.5,1,0.5,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0
Jamal Bey,UW,30,6.2,0.3,0.7,0.45,0.1,0.3,0.4,0.2,0.4,0.538,0.2,0.8,0.1,0.5,0.6,0.3,0.3,0.1,1,0
Jake Desjardins,U of A,8,2.9,0.1,0.8,0.167,0,0,0,0.6,1.5,0.417,0,0.8,0.5,0.4,0.9,0.1,0.2,0.1,0.9,0
Victor Uyaelunmo,USC,28,6.6,0.3,0.6,0.471,0,0,0,0.2,0.9,0.269,0.4,1.2,0.6,1,1.6,0.1,0.2,0.3,0.8,0
